"Artist.Name","Rank","Previous.Rank","Weeks.on.Chart","Views","Weekly.Growth","week","Country","X","isUkraine","sum"
"DZIDZIO",15,15,122,1402446,"2.3%",2019-01-17,"Україна","","ua",45
"DZIDZIO",33,30,141,986424,"-0.2%",2019-05-30,"Україна","","ua",45
"DZIDZIO",42,37,154,832348,"-2.5%",2019-08-29,"Україна","","ua",45
"DZIDZIO",35,38,158,897407,"3.6%",2019-09-26,"Україна","","ua",45
"DZIDZIO",33,35,147,868327,"2.6%",2019-07-11,"Україна","","ua",45
"DZIDZIO",38,34,149,846595,"-5.8%",2019-07-25,"Україна","","ua",45
"DZIDZIO",33,27,129,1112830,"-5.9%",2019-03-07,"Україна","","ua",45
"DZIDZIO",22,19,124,1285022,"-6%",2019-01-31,"Україна","","ua",45
"DZIDZIO",24,23,127,1269504,"-5.7%",2019-02-21,"Україна","","ua",45
"DZIDZIO",34,39,160,907330,"4.9%",2019-10-10,"Україна","","ua",45
"DZIDZIO",29,30,163,1069878,"11.3%",2019-10-31,"Україна","","ua",45
"DZIDZIO",30,31,162,960997,"-1.6%",2019-10-24,"Україна","","ua",45
"DZIDZIO",26,32,137,1251850,"34.1%",2019-05-02,"Україна","","ua",45
"DZIDZIO",32,34,136,933710,"-3.8%",2019-04-25,"Україна","","ua",45
"DZIDZIO",34,33,144,986757,"11.7%",2019-06-20,"Україна","","ua",45
"DZIDZIO",27,24,128,1182992,"-6.8%",2019-02-28,"Україна","","ua",45
"DZIDZIO",29,26,138,1052980,"-15.9%",2019-05-09,"Україна","","ua",45
"Govor",16,NA,1,1302200,"",2019-01-10,"Україна","","ua",1
"Алина Гросу",92,82,4,505100,"-14%",2019-04-04,"Україна","","ua",4
"Алина Гросу",62,NA,2,690522,"",2019-03-21,"Україна","","ua",4
"Алина Гросу",82,62,3,587369,"-14.9%",2019-03-28,"Україна","","ua",4
"Алина Гросу",46,92,5,802447,"58.9%",2019-04-11,"Україна","","ua",4
"Jamala",38,NA,14,892982,"",2019-05-30,"Україна","","ua",1
"Jerry Heil",53,NA,10,697149,"",2019-08-08,"Україна","","ua",17
"Jerry Heil",63,53,11,656348,"-5.9%",2019-08-15,"Україна","","ua",17
"Jerry Heil",42,37,4,844936,"-6.3%",2019-05-30,"Україна","","ua",17
"Jerry Heil",83,63,12,577252,"-12.1%",2019-08-22,"Україна","","ua",17
"Jerry Heil",51,32,17,718255,"-26.1%",2019-10-24,"Україна","","ua",17
"Jerry Heil",50,56,9,656587,"0.7%",2019-07-04,"Україна","","ua",17
"Jerry Heil",37,57,3,901828,"35.2%",2019-05-23,"Україна","","ua",17
"Jerry Heil",57,NA,2,667070,"",2019-05-16,"Україна","","ua",17
"Jerry Heil",32,18,16,972530,"-27.6%",2019-10-17,"Україна","","ua",17
"Jerry Heil",92,71,19,530911,"-16.5%",2019-11-07,"Україна","","ua",17
"Jerry Heil",5,NA,14,2561498,"",2019-10-03,"Україна","","ua",17
"Jerry Heil",49,49,6,699897,"-2.7%",2019-06-13,"Україна","","ua",17
"Jerry Heil",46,49,7,713052,"1.9%",2019-06-20,"Україна","","ua",17
"Jerry Heil",18,5,15,1343634,"-47.5%",2019-10-10,"Україна","","ua",17
"Jerry Heil",56,46,8,652093,"-8.5%",2019-06-27,"Україна","","ua",17
"Jerry Heil",49,42,5,719181,"-14.9%",2019-06-06,"Україна","","ua",17
"Jerry Heil",71,51,18,635451,"-11.5%",2019-10-31,"Україна","","ua",17
"Kavabanga Depo Kolibri",68,61,36,584997,"-2.5%",2019-07-25,"Україна","","ua",37
"Kavabanga Depo Kolibri",61,67,35,600237,"7.3%",2019-07-18,"Україна","","ua",37
"Kavabanga Depo Kolibri",31,38,40,982981,"17.2%",2019-08-22,"Україна","","ua",37
"Kavabanga Depo Kolibri",52,63,26,720048,"14.1%",2019-05-16,"Україна","","ua",37
"Kavabanga Depo Kolibri",67,51,34,559167,"-14.1%",2019-07-11,"Україна","","ua",37
"Kavabanga Depo Kolibri",71,76,38,599041,"6.7%",2019-08-08,"Україна","","ua",37
"Kavabanga Depo Kolibri",35,32,42,905132,"-5.1%",2019-09-05,"Україна","","ua",37
"Kavabanga Depo Kolibri",63,54,30,613399,"-10.9%",2019-06-13,"Україна","","ua",37
"Kavabanga Depo Kolibri",29,24,51,1064037,"-12.7%",2019-11-07,"Україна","","ua",37
"Kavabanga Depo Kolibri",42,37,46,853186,"-3%",2019-10-03,"Україна","","ua",37
"Kavabanga Depo Kolibri",27,29,49,1073292,"0.9%",2019-10-24,"Україна","","ua",37
"Kavabanga Depo Kolibri",32,31,41,953530,"-3%",2019-08-29,"Україна","","ua",37
"Kavabanga Depo Kolibri",16,45,16,1562419,"86.1%",2019-03-07,"Україна","","ua",37
"Kavabanga Depo Kolibri",42,29,18,897622,"-14.3%",2019-03-21,"Україна","","ua",37
"Kavabanga Depo Kolibri",45,NA,15,839552,"",2019-02-28,"Україна","","ua",37
"Kavabanga Depo Kolibri",66,52,27,661259,"-8.2%",2019-05-23,"Україна","","ua",37
"Kavabanga Depo Kolibri",51,53,33,651257,"-3.1%",2019-07-04,"Україна","","ua",37
"Kavabanga Depo Kolibri",57,66,28,716227,"8.3%",2019-05-30,"Україна","","ua",37
"Kavabanga Depo Kolibri",31,34,21,1073595,"21.2%",2019-04-11,"Україна","","ua",37
"Kavabanga Depo Kolibri",28,42,47,1080550,"26.6%",2019-10-10,"Україна","","ua",37
"Kavabanga Depo Kolibri",57,63,31,638493,"4.1%",2019-06-20,"Україна","","ua",37
"Kavabanga Depo Kolibri",29,16,17,1046926,"-33%",2019-03-14,"Україна","","ua",37
"Kavabanga Depo Kolibri",34,44,20,885658,"2%",2019-04-04,"Україна","","ua",37
"Kavabanga Depo Kolibri",76,68,37,561442,"-4%",2019-08-01,"Україна","","ua",37
"Kavabanga Depo Kolibri",38,71,39,838950,"40%",2019-08-15,"Україна","","ua",37
"Kavabanga Depo Kolibri",66,40,24,645294,"-23.8%",2019-05-02,"Україна","","ua",37
"Kavabanga Depo Kolibri",44,42,19,868518,"-3.2%",2019-03-28,"Україна","","ua",37
"Kavabanga Depo Kolibri",63,66,25,631138,"-2.2%",2019-05-09,"Україна","","ua",37
"Kavabanga Depo Kolibri",39,29,44,863673,"-11.7%",2019-09-19,"Україна","","ua",37
"Kavabanga Depo Kolibri",53,57,32,671750,"5.2%",2019-06-27,"Україна","","ua",37
"Kavabanga Depo Kolibri",29,28,48,1063228,"-1.6%",2019-10-17,"Україна","","ua",37
"Kavabanga Depo Kolibri",24,27,50,1218893,"13.6%",2019-10-31,"Україна","","ua",37
"Kavabanga Depo Kolibri",29,31,22,1112611,"3.6%",2019-04-18,"Україна","","ua",37
"Kavabanga Depo Kolibri",40,29,23,846637,"-23.9%",2019-04-25,"Україна","","ua",37
"Kavabanga Depo Kolibri",29,35,43,977587,"8%",2019-09-12,"Україна","","ua",37
"Kavabanga Depo Kolibri",54,57,29,688420,"-3.9%",2019-06-06,"Україна","","ua",37
"Kavabanga Depo Kolibri",37,39,45,879692,"1.9%",2019-09-26,"Україна","","ua",37
"KAZKA",1,1,62,4312847,"25.2%",2019-01-03,"Україна","","ua",45
